comment_id,parent_youtube_comment_id,youtube_fan_id,content,archived,timestamp,video_title,total_comments,total_replies,responses,sec_comment,account_title,thumbnail_url
4196,,2591,Pump me up. I love this new single. I hope they come to preform in Kansas City soon,false,1573559480000,The Blue Stones - Shakin' Off The Rust [Official Lyric Video],1,0,0,,Shelby Ligason,https://yt3.ggpht.com/a/AATXAJxReO9VA5k4FFmn4XDe0SJRdqD5abJ-zwZAdMtVAg=s48-c-k-c0xffffffff-no-rj-mo
934123,4671,603561,Omg me to😂,false,1592542617000,"The Blue Stones ""Be My Fire"" [Audio]",,,,,SlipknotFan170 Maggot,https://yt3.ggpht.com/ytc/AAUvwniRLuRlPDXNYgWkzrTHECgEP_2Tv3wAup_xgCZY=s48-c-k-c0xffffffff-no-rj-mo
4486,,2836,Lyrics to be in the recovery,false,1580951274000,"The Blue Stones ""Be My Fire"" [Audio]",2,1,0,1580951274000,858 hokobae,https://yt3.ggpht.com/a/AATXAJwdvZqMD95YyLNcYr09vXrW89p-BndF4tnUeg=s48-c-k-c0xffffffff-no-rj-mo
356329,,253159,Nice,false,1603313451000,The Blue Stones - Careless (Live on Display),1,0,0,,Mat,https://yt3.ggpht.com/a/AATXAJz40VKACmJvNX9DWHy489gK-X7nMBFUvYjT7g=s48-c-k-c0xffffffff-no-rj-mo
3610,,1893,=) Thanks for the great surprise <3,false,1585919491000,Careless [Visualizer Lyric Video],3,0,0,1585919491000,Alireza Barani,https://yt3.ggpht.com/a/AATXAJwVM2yCgOBw7soXWmVx1isO6kb3AsPKvyeMPwBEvw=s48-c-k-c0xffffffff-no-rj-mo
356334,,253154,13:43 I like that. Do you love me? 😍💋 💝💖❤️,false,1603315359000,The Blue Stones - Grim (Live on Display),3,0,0,1603315359000,Tavondra Tyson,https://yt3.ggpht.com/a/AATXAJzkZ8PtqurmctlOav-v1z_DZSS5U86Ky0vGH-er=s48-c-k-c0xffffffff-no-rj-mo
4070,,2475,Glad to hear this on the radio. I really dug black holes solid ground.,false,1587883770000,The Blue Stones - Shakin' Off The Rust [Official Lyric Video],1,0,0,,Anne Kakes,https://yt3.ggpht.com/a/AATXAJwrsvDQ8z9wYDFg822zUlFUF02ETxiDtKxt3g=s48-c-k-c0xffffffff-no-rj-mo
5110,,3388,"Gezzz man, these guys are going to fucking blow 🔥🔥🔥🔥",false,1538184297000,"The Blue Stones ""Black Holes (Solid Ground)"" [Official Lyric Video]",1,0,0,,Monroe,https://yt3.ggpht.com/a/AATXAJywsDnq2wk92s172cloWOPKLpvLPr897pBOcxXLNA=s48-c-k-c0xffffffff-no-rj-mo
934127,4686,603563,Turn Blue is amazing :v,false,1540926462000,"The Blue Stones ""Be My Fire"" [Audio]",,,,,xImageBreakerx,https://yt3.ggpht.com/ytc/AAUvwngh_Z-ErqxxoS78oneQiSDRqrk1fr5KP2JqERESxJQ=s48-c-k-c0xffffffff-no-rj-mo
4919,,3214,Check out my vocal and piano cover of this song!,false,1560326675000,"The Blue Stones ""Black Holes (Solid Ground)"" [Official Lyric Video]",2,0,0,1555932758000,Andrew,https://yt3.ggpht.com/a/AATXAJxUI2iraf_XsnvBJTGuK_8W34Rt7-jREDztQNGa-w=s48-c-k-c0xffffffff-no-rj-mo
3815,,2245,Hi guys!!! From the great state of  Texas!!!,false,1580468460000,The Blue Stones - Shakin' Off the Rust [Official Music Video],4,3,0,1580470592000,Lara Bauer,https://yt3.ggpht.com/a/AATXAJwlbEP6ulOqpNoQdIaoMKXNxAVZkpiHo0S_t4E9mZQ=s48-c-k-c0xffffffff-no-rj-mo
3717,,2048,WOW!,false,1576266036000,The Blue Stones - Grim (European Field Trip 2019),2,0,0,1576266036000,Меркурий М,https://yt3.ggpht.com/a/AATXAJxeVO8DhHNC3JdKuph2rLz7jJRHbjAnGx6hlRuK=s48-c-k-c0xffffffff-no-rj-mo
3514,,1973,Bro thank you keep this up,false,1587840275000,Be My Fire - Guitar Lesson + Performance,3,0,0,1576276618000,The Old Dusty trail,https://yt3.ggpht.com/a/AATXAJz7akpRuYueYYhJBGqEAv9g3b2_0_W43KEkuL7u=s48-c-k-c0xffffffff-no-rj-mo
3616,,2067,It's perfect just you two no need for more members. I love that you took your time to talk with us and play us some music. Cant wait to see you all again come back to Louisville! Headliners you havent played yet? Song I'd like to learn is rolling with the punches.,false,1585726299000,The Blue Stones Live Stream,1,0,0,,Alexander Trader,https://yt3.ggpht.com/a/AATXAJyZZvM-NjujqphKoMEwJNKbbri3QjVScW8peg=s48-c-k-c0xffffffff-no-rj-mo
9699,,6458,It definitely took me a few listens before I could get a groove on for this song but...this is good. Different. But damn good.,false,1599844931000,Careless [Visualizer Lyric Video],3,1,1,1602824966000,Brian Leichliter,https://yt3.ggpht.com/a/AATXAJxe_7z3BrsK1ftjfYihPDI_elsE9h_ufsJ3vS9nnw=s48-c-k-c0xffffffff-no-rj-mo
215850,,173248,690th comment. Nice,false,1602185384000,The Blue Stones - Shakin' Off The Rust [Official Lyric Video],1,0,0,,FloroBoro,https://yt3.ggpht.com/a/AATXAJy09zWcy3BgLuk9fxueIPYmFJx0lhc8z7g4Om_S=s48-c-k-c0xffffffff-no-rj-mo
3981,,2392,É br é?,false,1574140135000,The Blue Stones - Shakin' Off the Rust [Official Music Video],1,0,0,,Miqui,https://yt3.ggpht.com/a/AATXAJy-BFH-PVYf_tLmWawvX7jGGjwTmhrlXKo11_GqOA=s48-c-k-c0xffffffff-no-rj-mo
5072,,2787,I lost my black keys so I used a blue stone to get in the door,false,1540935869000,"The Blue Stones ""Black Holes (Solid Ground)"" [Official Lyric Video]",5,3,0,1548997164000,hilly scotsman,https://yt3.ggpht.com/a/AATXAJwZiraBuxciccMZZvxx7hzOKkD9Rckpcl9-Ow=s48-c-k-c0xffffffff-no-rj-mo
933965,,603481,not enough bluesy rock rn. i keep finding metal or overly punk tones,false,1607985682000,The Blue Stones - Shakin' Off The Rust [Official Lyric Video],2,1,0,1607985682000,ded mnwlkn,https://yt3.ggpht.com/ytc/AAUvwnhVgo6fkOidgdDSqqyE7s5K3kpMs0N7qhdHnp3V=s48-c-k-c0xffffffff-no-rj-mo
